"Intent","Entity","Question"
"Lugares_rutas","Lugares","Que camion me lleva Plaza patria"
"Lugares_rutas","Lugares","Que camion me lleva Avenida Aviacion"
"Lugares_rutas","Lugares","Que camion me lleva Av Calma"
"Lugares_rutas","Lugares","Que camion me lleva Gran Plaza"
"Lugares_rutas","Lugares","Que camion me lleva Providencia"
"Lugares_rutas","Lugares","Que camion me lleva Glorieta Minerva"
"Lugares_rutas","Lugares","Que camion me lleva Plaza Andares"
"Lugares_rutas","Lugares","Que camion me lleva Plaza Galerias"
"Lugares_rutas","Lugares","Que camion me lleva Zapopan"
"Lugares_rutas","Lugares","Que camion me lleva UVM Sur"
"Lugares_rutas","Lugares","Que camion me lleva Mariano Otero"
"Lugares_rutas","Lugares","Que camion me lleva Chapala"
"Lugares_rutas","Lugares","Que camion me lleva Centro"
"Lugares_rutas","Lugares","Que camion me lleva Av Belisario Dominguez"
"Lugares_rutas","Lugares","Que camion me lleva Periferico"
"Lugares_rutas","Lugares","Que camion me lleva Av 18 de marzo"
"Lugares_rutas","Lugares","Que camion me lleva Av Chapultepec"
"Lugares_rutas","Lugares","Que camion me lleva Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Que camion me lleva Av Lopez Mateos"
"Lugares_rutas","Lugares","Que camion me lleva Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Que camion me lleva Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Que camion me lleva El Fortin"
"Lugares_rutas","Lugares","Que camion me lleva Expo Guadalajara"
"Lugares_rutas","Lugares","Que camion me lleva Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Cual camion me lleva Plaza del Sol"
"Lugares_rutas","Lugares","Cual camion me lleva Plaza patria"
"Lugares_rutas","Lugares","Cual camion me lleva Avenida Aviacion"
"Lugares_rutas","Lugares","Cual camion me lleva Av Calma"
"Lugares_rutas","Lugares","Cual camion me lleva Gran Plaza"
"Lugares_rutas","Lugares","Cual camion me lleva Providencia"
"Lugares_rutas","Lugares","Cual camion me lleva Glorieta Minerva"
"Lugares_rutas","Lugares","Cual camion me lleva Plaza Andares"
"Lugares_rutas","Lugares","Cual camion me lleva Plaza Galerias"
"Lugares_rutas","Lugares","Cual camion me lleva Zapopan"
"Lugares_rutas","Lugares","Cual camion me lleva UVM Sur"
"Lugares_rutas","Lugares","Cual camion me lleva Mariano Otero"
"Lugares_rutas","Lugares","Cual camion me lleva Chapala"
"Lugares_rutas","Lugares","Cual camion me lleva Centro"
"Lugares_rutas","Lugares","Cual camion me lleva Av Belisario Dominguez"
"Lugares_rutas","Lugares","Cual camion me lleva Periferico"
"Lugares_rutas","Lugares","Cual camion me lleva Av 18 de marzo"
"Lugares_rutas","Lugares","Cual camion me lleva Av Chapultepec"
"Lugares_rutas","Lugares","Cual camion me lleva Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Cual camion me lleva Av Lopez Mateos"
"Lugares_rutas","Lugares","Cual camion me lleva Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Cual camion me lleva Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Cual camion me lleva El Fortin"
"Lugares_rutas","Lugares","Cual camion me lleva Expo Guadalajara"
"Lugares_rutas","Lugares","Cual camion me lleva Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Como llego a Plaza del Sol"
"Lugares_rutas","Lugares","Como llego a Plaza patria"
"Lugares_rutas","Lugares","Como llego a Avenida Aviacion"
"Lugares_rutas","Lugares","Como llego a Av Calma"
"Lugares_rutas","Lugares","Como llego a Gran Plaza"
"Lugares_rutas","Lugares","Como llego a Providencia"
"Lugares_rutas","Lugares","Como llego a Glorieta Minerva"
"Lugares_rutas","Lugares","Como llego a Plaza Andares"
"Lugares_rutas","Lugares","Como llego a Plaza Galerias"
"Lugares_rutas","Lugares","Como llego a Zapopan"
"Lugares_rutas","Lugares","Como llego a UVM Sur"
"Lugares_rutas","Lugares","Como llego a Mariano Otero"
"Lugares_rutas","Lugares","Como llego a Chapala"
"Lugares_rutas","Lugares","Como llego a Centro"
"Lugares_rutas","Lugares","Como llego a Av Belisario Dominguez"
"Lugares_rutas","Lugares","Como llego a Periferico"
"Lugares_rutas","Lugares","Como llego a Av 18 de marzo"
"Lugares_rutas","Lugares","Como llego a Av Chapultepec"
"Lugares_rutas","Lugares","Como llego a Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Como llego a Av Lopez Mateos"
"Lugares_rutas","Lugares","Como llego a Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Como llego a Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Como llego a El Fortin"
"Lugares_rutas","Lugares","Como llego a Expo Guadalajara"
"Lugares_rutas","Lugares","Como llego a Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Como me voy Plaza del Sol"
"Lugares_rutas","Lugares","Como me voy Plaza patria"
"Lugares_rutas","Lugares","Como me voy Avenida Aviacion"
"Lugares_rutas","Lugares","Como me voy Av Calma"
"Lugares_rutas","Lugares","Como me voy Gran Plaza"
"Lugares_rutas","Lugares","Como me voy Providencia"
"Lugares_rutas","Lugares","Como me voy Glorieta Minerva"
"Lugares_rutas","Lugares","Como me voy Plaza Andares"
"Lugares_rutas","Lugares","Como me voy Plaza Galerias"
"Lugares_rutas","Lugares","Como me voy Zapopan"
"Lugares_rutas","Lugares","Como me voy UVM Sur"
"Lugares_rutas","Lugares","Como me voy Mariano Otero"
"Lugares_rutas","Lugares","Como me voy Chapala"
"Lugares_rutas","Lugares","Como me voy Centro"
"Lugares_rutas","Lugares","Como me voy Av Belisario Dominguez"
"Lugares_rutas","Lugares","Como me voy Periferico"
"Lugares_rutas","Lugares","Como me voy Av 18 de marzo"
"Lugares_rutas","Lugares","Como me voy Av Chapultepec"
"Lugares_rutas","Lugares","Como me voy Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Como me voy Av Lopez Mateos"
"Lugares_rutas","Lugares","Como me voy Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Como me voy Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Como me voy El Fortin"
"Lugares_rutas","Lugares","Como me voy Expo Guadalajara"
"Lugares_rutas","Lugares","Como me voy Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Tengo que ir Plaza del Sol"
"Lugares_rutas","Lugares","Tengo que ir Plaza patria"
"Lugares_rutas","Lugares","Tengo que ir Avenida Aviacion"
"Lugares_rutas","Lugares","Tengo que ir Av Calma"
"Lugares_rutas","Lugares","Tengo que ir Gran Plaza"
"Lugares_rutas","Lugares","Tengo que ir Providencia"
"Lugares_rutas","Lugares","Tengo que ir Glorieta Minerva"
"Lugares_rutas","Lugares","Tengo que ir Plaza Andares"
"Lugares_rutas","Lugares","Tengo que ir Plaza Galerias"
"Lugares_rutas","Lugares","Tengo que ir Zapopan"
"Lugares_rutas","Lugares","Tengo que ir UVM Sur"
"Lugares_rutas","Lugares","Tengo que ir Mariano Otero"
"Lugares_rutas","Lugares","Tengo que ir Chapala"
"Lugares_rutas","Lugares","Tengo que ir Centro"
"Lugares_rutas","Lugares","Tengo que ir Av Belisario Dominguez"
"Lugares_rutas","Lugares","Tengo que ir Periferico"
"Lugares_rutas","Lugares","Tengo que ir Av 18 de marzo"
"Lugares_rutas","Lugares","Tengo que ir Av Chapultepec"
"Lugares_rutas","Lugares","Tengo que ir Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Tengo que ir Av Lopez Mateos"
"Lugares_rutas","Lugares","Tengo que ir Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Tengo que ir Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Tengo que ir El Fortin"
"Lugares_rutas","Lugares","Tengo que ir Expo Guadalajara"
"Lugares_rutas","Lugares","Tengo que ir Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Necesito llegar Plaza del Sol"
"Lugares_rutas","Lugares","Necesito llegar Plaza patria"
"Lugares_rutas","Lugares","Necesito llegar Avenida Aviacion"
"Lugares_rutas","Lugares","Necesito llegar Av Calma"
"Lugares_rutas","Lugares","Necesito llegar Gran Plaza"
"Lugares_rutas","Lugares","Necesito llegar Providencia"
"Lugares_rutas","Lugares","Necesito llegar Glorieta Minerva"
"Lugares_rutas","Lugares","Necesito llegar Plaza Andares"
"Lugares_rutas","Lugares","Necesito llegar Plaza Galerias"
"Lugares_rutas","Lugares","Necesito llegar Zapopan"
"Lugares_rutas","Lugares","Necesito llegar UVM Sur"
"Lugares_rutas","Lugares","Necesito llegar Mariano Otero"
"Lugares_rutas","Lugares","Necesito llegar Chapala"
"Lugares_rutas","Lugares","Necesito llegar Centro"
"Lugares_rutas","Lugares","Necesito llegar Av Belisario Dominguez"
"Lugares_rutas","Lugares","Necesito llegar Periferico"
"Lugares_rutas","Lugares","Necesito llegar Av 18 de marzo"
"Lugares_rutas","Lugares","Necesito llegar Av Chapultepec"
"Lugares_rutas","Lugares","Necesito llegar Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Necesito llegar Av Lopez Mateos"
"Lugares_rutas","Lugares","Necesito llegar Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Necesito llegar Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Necesito llegar El Fortin"
"Lugares_rutas","Lugares","Necesito llegar Expo Guadalajara"
"Lugares_rutas","Lugares","Necesito llegar Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","Necesito ir Plaza del Sol"
"Lugares_rutas","Lugares","Necesito ir Plaza patria"
"Lugares_rutas","Lugares","Necesito ir Avenida Aviacion"
"Lugares_rutas","Lugares","Necesito ir Av Calma"
"Lugares_rutas","Lugares","Necesito ir Gran Plaza"
"Lugares_rutas","Lugares","Necesito ir Providencia"
"Lugares_rutas","Lugares","Necesito ir Glorieta Minerva"
"Lugares_rutas","Lugares","Necesito ir Plaza Andares"
"Lugares_rutas","Lugares","Necesito ir Plaza Galerias"
"Lugares_rutas","Lugares","Necesito ir Zapopan"
"Lugares_rutas","Lugares","Necesito ir UVM Sur"
"Lugares_rutas","Lugares","Necesito ir Mariano Otero"
"Lugares_rutas","Lugares","Necesito ir Chapala"
"Lugares_rutas","Lugares","Necesito ir Centro"
"Lugares_rutas","Lugares","Necesito ir Av Belisario Dominguez"
"Lugares_rutas","Lugares","Necesito ir Periferico"
"Lugares_rutas","Lugares","Necesito ir Av 18 de marzo"
"Lugares_rutas","Lugares","Necesito ir Av Chapultepec"
"Lugares_rutas","Lugares","Necesito ir Av Lazaro Cardenas"
"Lugares_rutas","Lugares","Necesito ir Av Lopez Mateos"
"Lugares_rutas","Lugares","Necesito ir Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","Necesito ir Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","Necesito ir El Fortin"
"Lugares_rutas","Lugares","Necesito ir Expo Guadalajara"
"Lugares_rutas","Lugares","Necesito ir Fraccionamiento Revolucion"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Plaza del Sol"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Plaza patria"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Avenida Aviacion"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Calma"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Gran Plaza"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Providencia"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Glorieta Minerva"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Plaza Andares"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Plaza Galerias"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Zapopan"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur UVM Sur"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Mariano Otero"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Chapala"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Centro"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Belisario Dominguez"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Periferico"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av 18 de marzo"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Chapultepec"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Lazaro Cardenas"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Lopez Mateos"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Av Lopez Mateos Sur"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Periferico esquina con Vallarta"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur El Fortin"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Expo Guadalajara"
"Lugares_rutas","Lugares","sabes que camion te deja en centro sur Fraccionamiento Revolucion"
